CTUID,CT_Name,Pct_Owner_STIR_30plus,Median_Household_Income_2020
5350353.02,5350353.02,20.3,91000.0
5350353.03,5350353.03,25.5,83000.0
5350353.04,5350353.04,26.3,67500.0
5350354.00,5350354.00,25.5,90000.0
5350355.02,5350355.02,27.5,77500.0
5350355.04,5350355.04,41.7,76000.0
5350355.05,5350355.05,30.5,67000.0
5350355.06,5350355.06,22.2,69500.0
5350356.00,5350356.00,19.7,99000.0
5350357.01,5350357.01,20.2,57200.0
5350357.02,5350357.02,23.1,61200.0
5350358.01,5350358.01,23.7,95000.0
5350358.02,5350358.02,30.7,64500.0
5350358.03,5350358.03,23.5,58800.0
5350359.00,5350359.00,28.1,67000.0
5350360.00,5350360.00,19.9,107000.0
5350361.01,5350361.01,15.4,138000.0
5350361.02,5350361.02,12.3,132000.0
5350362.01,5350362.01,23.4,96000.0
5350362.02,5350362.02,17.0,126000.0
5350362.03,5350362.03,19.5,117000.0
5350362.04,5350362.04,20.2,89000.0
5350363.02,5350363.02,19.9,99000.0
5350363.04,5350363.04,21.9,107000.0
5350363.05,5350363.05,40.6,61200.0
5350363.06,5350363.06,43.6,72500.0
5350363.07,5350363.07,21.1,55600.0
5350364.01,5350364.01,20.9,89000.0
5350364.02,5350364.02,18.8,97000.0
5350365.00,5350365.00,25.0,91000.0
5350366.00,5350366.00,21.3,80000.0
5350367.01,5350367.01,20.4,82000.0
5350367.02,5350367.02,16.8,99000.0
5350368.01,5350368.01,40.6,65000.0
5350368.02,5350368.02,17.1,75500.0
5350369.00,5350369.00,20.1,88000.0
5350370.01,5350370.01,34.0,68500.0
5350370.02,5350370.02,30.5,85000.0
5350370.03,5350370.03,19.9,92000.0
5350371.00,5350371.00,27.8,90000.0
5350372.00,5350372.00,18.2,101000.0
5350373.00,5350373.00,21.3,82000.0
5350374.01,5350374.01,25.3,94000.0
5350374.02,5350374.02,22.9,91000.0
5350374.03,5350374.03,25.6,64000.0
5350375.01,5350375.01,30.8,54800.0
5350375.02,5350375.02,14.3,118000.0
5350375.03,5350375.03,27.8,75500.0
5350375.04,5350375.04,30.0,96000.0
5350375.05,5350375.05,22.3,79500.0
5350376.01,5350376.01,31.3,79000.0
5350376.02,5350376.02,36.2,74500.0
5350376.04,5350376.04,31.2,80000.0
5350376.05,5350376.05,34.3,82000.0
5350376.06,5350376.06,58.8,35200.0
5350376.08,5350376.08,33.2,82000.0
5350376.09,5350376.09,38.1,72000.0
5350376.11,5350376.11,27.9,78000.0
5350376.12,5350376.12,31.9,86000.0
5350376.13,5350376.13,40.5,74500.0
5350376.14,5350376.14,21.5,95000.0
5350376.15,5350376.15,40.5,75000.0
5350376.16,5350376.16,45.5,60800.0
5350377.02,5350377.02,22.4,91000.0
5350377.03,5350377.03,23.4,98000.0
5350377.04,5350377.04,25.3,90000.0
5350377.06,5350377.06,25.6,91000.0
5350377.07,5350377.07,29.2,91000.0
5350377.08,5350377.08,30.9,84000.0
5350377.09,5350377.09,41.8,70500.0
5350378.02,5350378.02,21.7,87000.0
5350378.03,5350378.03,29.3,91000.0
5350378.04,5350378.04,25.1,86000.0
5350378.05,5350378.05,17.3,92000.0
5350378.06,5350378.06,28.3,93000.0
5350378.07,5350378.07,32.1,81000.0
5350378.08,5350378.08,28.2,84000.0
5350378.11,5350378.11,31.5,85000.0
5350378.12,5350378.12,27.4,70000.0
5350378.14,5350378.14,26.6,86000.0
5350378.16,5350378.16,32.3,83000.0
5350378.17,5350378.17,23.4,100000.0
5350378.18,5350378.18,44.8,56800.0
5350378.19,5350378.19,23.9,96000.0
5350378.20,5350378.20,49.6,60800.0
5350378.21,5350378.21,25.8,92000.0
5350378.22,5350378.22,26.4,93000.0
5350378.23,5350378.23,27.8,91000.0
5350378.24,5350378.24,29.5,68500.0
5350378.25,5350378.25,28.3,121000.0
5350378.26,5350378.26,27.7,126000.0
5350378.27,5350378.27,25.9,111000.0
